Community health worker designation,Gender,What is your current age (in years)?,How long have you worked in this village/Area (In years),What is your marital status,Do you have children?,Highest level of education completed,What type of initial training did you receive to serve as a community health worker?,Other (please specify),An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,What do you remember most clearly from your training?,Other (please specify),"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Do you receive regular refresher or continuous professional training training?,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,Community engagement,Other (please specify),Which training topic was most clearly presented? (Select all that applies),Other (please specify),Were you certified after training?,Does having CHP certification influence motivation or performance?,How would you rate the quality of the main training provided to you as a CHP?,Household visits,Health promotion and education,MNCH support,Disease surveillance,Basic NCD screening,Referrals and follow-up,Community mobilization,WASH promotion,Distribution of LLTNs,Defaulter Tracing,How clear are you about the services you are officially expected to provide in your role?,Are you routinely assigned tasks that you believe fall outside your official scheme of service?,How would you rate the overall quality of community health services delivered?,Community health services are consistent across villages/households?,How often do you receive supportive supervision?,Who provides/Supposed to provide supervision: CHEWs/CHAs,Facility - in - charges,Community health focal persons,Partner staff,I don't know,Other (please specify),How adequate is the supervision provided?,"Do you have the tools and commodities they need to perform their roles (job aids, reporting tools, referral slips, kits)?",What challenges affect the quality of community health service delivery? (open ended),How are you being engaged as a CHP?,Do you receive a stipend?,"Source of stipends : Yes, from national government","Yes, from county government","Yes, from partners",None,"If yes, how adequate is the remuneration?",Non-financial incentives : None of the above,Uniforms/Badges,Phone,Airtime,Fare/Transport support/means of transport,Recognition events,Training opportunities,Other (please specify),Does partner funding support community health operations?,"Are you involved in income-generating groups (CHW IGAs, savings groups, cooperatives)?","If yes, which income-generating activities (IGAs) are you involved in?",How effective are these IGAs in supporting CHW motivation and retention?,Inadequate and Unpredictable Funding for Community Health Programs,Insufficient Remuneration and Incentives for Community Health Workers (CHWs),"Limited Financing for Commodities, Supplies, and Logistics","Weak Funding for Supervision, Training, and Data Systems",Poor Integration of Community Health into Broader Health Financing Frameworks,What data collection tools do CHPs use? ,Activity reporting forms,Digital tools (eCHIS),Partner tools,Other (please specify),Are the tools adequate for the work required?,How frequently do you submit reports?,How would you rate data accuracy and completeness?,In your opinion is community-level data used for decision-making?,Who uses the data? : CHPs,CHEWs/CHAs,Facility staff,County HR and Planning,Partners,National programs,Do you receive feedback on the reports you generate?,Who gives you feedback on the reports you generate?,Other (please specify),Is community-level data integrated into KHIS/DHIS2?,Do you know that Kenya is in the process of locally manufacturing vaccines?,Would you be willing to be vaccinated with a locally manufactured vaccine?,Would you be willing to recommend/encourage mothers to get the locally manufactured vaccine.,How would they feel the local community will respond to locally made vaccines?,Any thoughts on what Government can do to improve the uptake of locally made medicines and vaccines? : Community sensitization and engagement to build public confidence in locally manufactured medicines and vaccines,Robust regulatory oversight is essential to ensure that locally produced medicines meet international quality standards,Assure and Communicate Product Quality,Ensure Competitive Pricing and Affordability,Reduce Overreliance on Imports and Build Resilience,"Communicate the contribution of local pharmaceutical production to job creation, innovation, and broader industrial growth",Local manufacturing strengthens resilience against global shocks and supports timely access to essential medicines and vaccines.
Community health promoter (CHP),Male,Above 44,Above 10 years,Married,Yes,Secondary,On-the-job orientation only,,An introduction to the CHV training Course,,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,,,Best Practices for Health Promotion and Disease Prevention,,"Water, Sanitation and Hygiene",Community Nutrition,,Maternal and Newborn Health,,,,Sometimes,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),,WASH,,,,WASH,,No,Not at all,Very high quality,1,4,9,8,3,7,5,2,10,6,Very clear,"Yes, frequently",Good,Agree,Monthly,CHEWs/CHAs,,,,,,Very adequate,Always,Phone hanging during reports.and echis password problem ,Volunteer,"Yes, i receive regularly","Yes, from national government","Yes, from county government",,,Inadequate,,Uniforms/Badges,Phone,,,,,,"Yes, Partially",Yes,Table banking ,Not at all effective,1,3,2,4,5,,Activity reporting forms,Digital tools (eCHIS),,,Partially,Monthly,Fair,"Yes, regularly",CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,Above 44,05-Jun,Married,Yes,Primary,Standardized government curriculum,,An introduction to the CHV training Course,,,,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Basic Health Care and Lifesaving Skills,,"Water, Sanitation and Hygiene",Community Nutrition,,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Sometimes,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,,,WASH,,Yes,Considerably,Neither high nor low quality,1,3,2,4,6,7,5,8,9,10,Very clear,"Yes, frequently",Good,Agree,Quarterly,CHEWs/CHAs,Facility - in - charges,Community health focal persons,,,,Adequate,Sometimes,Don't get all commodity ,Volunteer,"Yes, i receive regularly","Yes, from national government","Yes, from county government",,,Neutral,,Uniforms/Badges,Phone,,,,Training opportunities,,None,Yes,None,Not at all effective,2,3,4,1,5,MOH registers,Activity reporting forms,Digital tools (eCHIS),,,Yes,Monthly,Good,Rarely,CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,Above 44,05-Jun,Single,Yes,Primary,Standardized government curriculum,,An introduction to the CHV training Course,,,,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Basic Health Care and Lifesaving Skills,,"Water, Sanitation and Hygiene",Community Nutrition,,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Sometimes,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,,,WASH,,Yes,Considerably,Neither high nor low quality,1,2,3,4,5,6,7,8,10,9,Very clear,"Yes, frequently",Excellent,Agree,Quarterly,CHEWs/CHAs,,Community health focal persons,,,,Adequate,Sometimes,Lake of Como.ndities,Volunteer,"Yes, i receive regularly","Yes, from national government","Yes, from county government",,,Neutral,,Uniforms/Badges,Phone,,,,Training opportunities,,None,Yes,None,Not at all effective,1,2,3,4,5,MOH registers,Activity reporting forms,Digital tools (eCHIS),,,Yes,Monthly,Good,Rarely,CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,Above 44,05-Jun,Single,Yes,Primary,Standardized government curriculum,,An introduction to the CHV training Course,,,,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Best Practices for Health Promotion and Disease Prevention,,"Water, Sanitation and Hygiene",Community Nutrition,,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Sometimes,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,,,WASH,,Yes,Considerably,Neither high nor low quality,2,3,5,6,4,1,7,8,9,10,Very clear,"Yes, frequently",Good,Agree,Rarely,CHEWs/CHAs,Facility - in - charges,Community health focal persons,,,,Adequate,Sometimes,Don't get the commodities from the health center to help the community,Volunteer,"Yes, i receive regularly","Yes, from national government","Yes, from county government",,,Neutral,,Uniforms/Badges,Phone,,,,Training opportunities,,None,Yes,None,Not at all effective,1,2,3,4,5,MOH registers,Activity reporting forms,Digital tools (eCHIS),,,Yes,Monthly,Good,Rarely,CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,40 - 44,05-Jun,Married,Yes,Primary,Standardized government curriculum,,An introduction to the CHV training Course,,,,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Basic Health Care and Lifesaving Skills,,"Water, Sanitation and Hygiene",Community Nutrition,,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Sometimes,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,,,WASH,,Yes,Considerably,Neither high nor low quality,1,2,3,4,5,6,7,8,9,10,Very clear,"Yes, frequently",Good,Agree,Quarterly,CHEWs/CHAs,Facility - in - charges,Community health focal persons,,,,Adequate,Sometimes,Lack of comodintis,Volunteer,"Yes, i receive regularly","Yes, from national government","Yes, from county government",,,Neutral,,Uniforms/Badges,Phone,,,,Training opportunities,,None,Yes,Nane,Not at all effective,1,2,3,4,5,MOH registers,Activity reporting forms,Digital tools (eCHIS),,,Yes,Monthly,Good,Rarely,CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,Above 44,05-Jun,Single,Yes,Tertiary (Certificate),Other (please specify),Standardized government and NGO Training ,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Basic Health Care and Lifesaving Skills,,"Water, Sanitation and Hygiene",,Integrated Community Case Management,Maternal and Newborn Health,,,,Sometimes,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,Community engagement,,Data management and digital reporting,,Yes,Considerably,High quality,4,1,2,3,5,7,6,8,10,9,Very clear,Rarely,Good,Agree,Monthly,CHEWs/CHAs,Facility - in - charges,Community health focal persons,Partner staff,,,Adequate,Usually,When we refer to our facility and their are no medicines there so the clients complain on why we refer them there,Volunteer,"Yes, i receive but not regularly","Yes, from national government","Yes, from county government",,,Adequate,,,Phone,,,,,,Minimal,No,,,1,2,3,5,4,MOH registers,Activity reporting forms,Digital tools (eCHIS),,,Yes,Monthly,Good,Occasionally,CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,35 - 39,03-Apr,Married,Yes,Secondary,NGO-led training,,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Management and Use of Community Health Information and Disease Surveillance.,,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Sometimes,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,Community engagement,,"HIV, TB and Malaria",,No,Extremely,Very high quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Male,Above 44,Above 10 years,Single,Yes,Secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,35 - 39,07-Aug,Married,Yes,Tertiary (Diploma),Standardized government curriculum,,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Community Governance and Leadership,,,Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,,Non communicable Diseases,Rarely,"Maternal, Neonatal and child health (MNCH)",,Non communicable diseases (NCDs),Mental Health,,Data management and digital reporting,Community engagement,,Data management and digital reporting,,No,Considerably,Neither high nor low quality,1,2,3,4,5,6,7,8,10,9,Very clear,"Yes, occasionally",Good,Agree,Quarterly,CHEWs/CHAs,,Community health focal persons,,,,Very adequate,Usually,"Long distance, During rainy season if one doesn't have gumboots and umbrella ",Letter of assignment,"Yes, i receive regularly","Yes, from national government","Yes, from county government",,,Inadequate,,Uniforms/Badges,Phone,,,,Training opportunities,,"Yes, Partially",No,,,1,2,3,4,5,,,Digital tools (eCHIS),,,Yes,Monthly,Fair,Rarely,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,40 - 44,Above 10 years,Married,Yes,Secondary,Standardized government curriculum,,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Best Practices for Health Promotion and Disease Prevention,,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Usually,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,Community engagement,,Community engagement,,Yes,Moderately,Very high quality,1,5,9,6,2,4,8,7,10,3,Very clear,"Yes, frequently",Good,Agree,Weekly,CHEWs/CHAs,,,Partner staff,,,Very adequate,Always,"Sometimes referrals to some clients never attend to facility ,but when I follow-up they will go ,",Formal contract from the government,"Yes, i receive regularly","Yes, from national government","Yes, from county government",,,Adequate,,Uniforms/Badges,Phone,,,Recognition events,Training opportunities,,"Yes, Partially",No,,,3,2,1,4,5,MOH registers,Activity reporting forms,Digital tools (eCHIS),,,Yes,Weekly,Excellent,"Yes, regularly",CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,40 - 44,Above 10 years,Married,Yes,Secondary,Standardized government curriculum,,,,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,,,Best Practices for Health Promotion and Disease Prevention,,"Water, Sanitation and Hygiene",Community Nutrition,,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",,Always,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",,Mental Health,,,,,"HIV, TB and Malaria",,Yes,Extremely,Very high quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Male,35 - 39,0 - 2,Married,Yes,Tertiary (Certificate),Standardized government curriculum,,,,"Communication, Advocacy and Social Mobilization",,,,Best Practices for Health Promotion and Disease Prevention,,"Water, Sanitation and Hygiene",Community Nutrition,,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Usually,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,,Community engagement,,"HIV, TB and Malaria",,Yes,Extremely,High quality,2,1,3,6,10,4,7,5,9,8,Somewhat clear,Not sure what is outside my scheme of service,Good,Agree,Monthly,CHEWs/CHAs,,,,,,Adequate,Sometimes,Inadequate  products for the community and negletion of CHPS increase of steepends,List of names issued for appointment,"Yes, i receive regularly","Yes, from national government","Yes, from county government",,,Inadequate,,Uniforms/Badges,Phone,,,,Training opportunities,,"Yes, Partially",No,,,1,4,3,5,2,,,Digital tools (eCHIS),,,Yes,Monthly,Fair,"Yes, regularly",,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Male,Above 44,Above 10 years,Married,Yes,Secondary,NGO-led training,,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,,,Best Practices for Health Promotion and Disease Prevention,,"Water, Sanitation and Hygiene",Community Nutrition,,,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Sometimes,,"HIV, TB and Malaria",Non communicable diseases (NCDs),,WASH,Data management and digital reporting,Community engagement,,WASH,,Yes,Moderately,High quality,1,2,3,4,5,6,7,8,9,10,Somewhat clear,"Yes, occasionally",Good,Agree,Monthly,CHEWs/CHAs,,,,,,Adequate,Always, Somotimee lacking working tools and commodities dallying of stipend phone lacking Network ,Volunteer,"Yes, i receive but not regularly","Yes, from national government","Yes, from county government",,,Inadequate,,Uniforms/Badges,Phone,,,,Training opportunities,,Minimal,Yes,Table backing ,Very effective,1,2,3,4,5,MOH registers,,Digital tools (eCHIS),,,Partially,Monthly,Fair,Occasionally,CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,Above 44,09-Oct,Married,Yes,Primary,NGO-led training,,An introduction to the CHV training Course,,,,,,Basic Health Care and Lifesaving Skills,,"Water, Sanitation and Hygiene",Community Nutrition,,Maternal and Newborn Health,Family Planning,,,Sometimes,,,,,WASH,,Community engagement,,"Maternal, Neonatal and child health (MNCH)",,Yes,Moderately,High quality,2,1,5,6,4,3,7,8,9,10,Somewhat clear,Rarely,Good,Agree,Monthly,CHEWs/CHAs,Facility - in - charges,,,,,Adequate,Always,"Level of understanding, lack of enough medical tool ",Formal contract from the government,"Yes, i receive but not regularly","Yes, from national government","Yes, from county government",,,Very Inadequate,,Uniforms/Badges,,,,,Training opportunities,Bicycle ,None,Yes,"Merry go round, table banking ",Somewhat effective,1,3,2,4,5,MOH registers,,Digital tools (eCHIS),,,Yes,Monthly,Good,"Yes, regularly",CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,35 - 39,05-Jun,Married,Yes,Secondary,Standardized government curriculum,,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,"Communication, Advocacy and Social Mobilization",,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Sometimes,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,Community engagement,,Mental Health,,Yes,Moderately,Very high quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Male,30 - 34,0 - 2,Married,Yes,Tertiary (Certificate),Standardized government curriculum,,,,"Communication, Advocacy and Social Mobilization",,,,"Communication, Advocacy and Social Mobilization",,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Always,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,,Community engagement,,Community engagement,,Yes,Extremely,High quality,4,9,2,3,5,10,1,6,8,7,Extremely clear,"Yes, occasionally",Excellent,Agree,Weekly,CHEWs/CHAs,,,,,,Very Inadequate,Usually,Low salary / stipends  so no motivatation,Volunteer,"Yes, i receive regularly","Yes, from national government","Yes, from county government",,,Inadequate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,Above 44,05-Jun,Single,Yes,Tertiary (Diploma),On-the-job orientation only,,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Best Practices for Health Promotion and Disease Prevention,,"Water, Sanitation and Hygiene",Community Nutrition,,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Sometimes,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,,Dental health ,WASH,,Yes,Slightly,Neither high nor low quality,2,4,3,5,7,1,6,8,9,10,Very clear,"Yes, frequently",Fair,Agree,Quarterly,,Facility - in - charges,,,,,Neutral,Sometimes,"Incorporation with the timing, lack of dewormers,",Formal contract from the government,"Yes, i receive regularly","Yes, from national government","Yes, from county government",,,Neutral,,,Phone,,,,Training opportunities,,Minimal,No,,,2,3,1,4,5,,,Digital tools (eCHIS),,,Partially,Monthly,Fair,Occasionally,CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,35 - 39,05-Jun,Married,Yes,Secondary,NGO-led training,,,,,Best Practices for Health Promotion and Disease Prevention,,,Best Practices for Health Promotion and Disease Prevention,,"Water, Sanitation and Hygiene",,,,,,,Rarely,,,Non communicable diseases (NCDs),,,,,,"HIV, TB and Malaria",,Yes,Extremely,Neither high nor low quality,1,2,3,4,5,7,6,8,10,9,Very clear,"Yes, frequently",Excellent,Agree,Monthly,CHEWs/CHAs,,,,,,Neutral,Always,Lack of money,Formal contract from the government,"Yes, i receive but not regularly",,"Yes, from county government",,,Very Inadequate,,,,,Fare/Transport support/means of transport,,,,None,No,,,3,2,1,4,5,MOH registers,,,,,Partially,Monthly,Fair,Rarely,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,Above 44,09-Oct,Married,Yes,Tertiary (Certificate),Standardized government curriculum,,An introduction to the CHV training Course,,"Communication, Advocacy and Social Mobilization",,,Management and Use of Community Health Information and Disease Surveillance.,"Communication, Advocacy and Social Mobilization",,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",,Sometimes,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,Community engagement,,Non communicable diseases (NCDs),,Yes,Slightly,High quality,5,3,2,1,7,4,6,9,10,8,Extremely clear,"Yes, occasionally",Good,Agree,Quarterly,CHEWs/CHAs,,,,,,Adequate,Sometimes,"Lack of communication, working tools, transport ",Formal contract from the government,"Yes, i receive regularly","Yes, from national government","Yes, from county government","Yes, from partners",,Adequate,,,Phone,,,,Training opportunities,,"Yes, Partially",Yes,Table banking,Somewhat effective,2,1,3,4,5,MOH registers,Activity reporting forms,Digital tools (eCHIS),,,Yes,Monthly,Excellent,"Yes, regularly",CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,Above 44,09-Oct,Married,Yes,Tertiary (Certificate),Standardized government curriculum,,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Management and Use of Community Health Information and Disease Surveillance.,,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Sometimes,,,,Mental Health,WASH,,,,Mental Health,,No,Not at all,High quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,Above 44,Above 10 years,Married,Yes,Secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Male,Above 44,05-Jun,Married,Yes,Tertiary (Certificate),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Male,25 - 29,0 - 2,Married,Yes,Secondary,NGO-led training,,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Basic Health Care and Lifesaving Skills,,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Rarely,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,,Community engagement,,WASH,,No,Extremely,Very high quality,1,4,2,7,9,5,6,3,10,8,Extremely clear,Rarely,Fair,Strongly agree,Monthly,CHEWs/CHAs,Facility - in - charges,,,,,Very adequate,Rarely,Not provided with tools in time,Volunteer,"No, i do not receive",,,,,,,Uniforms/Badges,Phone,,,Recognition events,Training opportunities,,Minimal,No,,,4,5,2,1,3,MOH registers,Activity reporting forms,Digital tools (eCHIS),,,Partially,Monthly,Excellent,"Yes, regularly",CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,Above 44,09-Oct,Married,Yes,Tertiary (Certificate),Standardized government curriculum,,An introduction to the CHV training Course,,,,,,Community Governance and Leadership,,"Water, Sanitation and Hygiene",Community Nutrition,,,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Sometimes,,"HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,Community engagement,,Community engagement,,Yes,Slightly,High quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,40 - 44,05-Jun,Married,Yes,Secondary,NGO-led training,,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Best Practices for Health Promotion and Disease Prevention,,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",,Sometimes,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,Community engagement,,WASH,,Yes,Moderately,High quality,1,2,3,6,4,9,7,5,8,10,Very clear,"Yes, frequently",Fair,Agree,Quarterly,CHEWs/CHAs,,,Partner staff,,,Adequate,Always,"Sometimes when you advise the households member to do something like to make handwashing facility when you revisit again you meet they already destroyed it and many others, meaning some of them they are not serious ",List of names issued for appointment,"Yes, i receive regularly","Yes, from national government","Yes, from county government",,,Inadequate,,Uniforms/Badges,Phone,Airtime,Fare/Transport support/means of transport,Recognition events,Training opportunities,,"Yes, Partially",No,,,1,2,3,4,5,MOH registers,Activity reporting forms,Digital tools (eCHIS),,,Yes,Irregularly,Fair,Rarely,CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Male,25 - 29,03-Apr,Single,No,Tertiary (Certificate),On-the-job orientation only,,An introduction to the CHV training Course,,,,,,"Communication, Advocacy and Social Mobilization",,"Water, Sanitation and Hygiene",,,,,,,Sometimes,,"HIV, TB and Malaria",,,,,Community engagement,,"HIV, TB and Malaria",,No,Considerably,Neither high nor low quality,2,3,1,7,8,5,4,6,9,10,Very clear,Rarely,Good,Agree,Quarterly,CHEWs/CHAs,,,,,,Adequate,Always,Poor roads to the referral facilities.,Volunteer,"Yes, i receive regularly",,"Yes, from county government",,,Inadequate,,Uniforms/Badges,Phone,,,Recognition events,Training opportunities,,"Yes, Partially",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
